numer kategorii,nazwa kategorii,filar wzrostu
3,DOMOLUX,POZOSTAŁE
6,PRAKTIKO PRO,POZOSTAŁE
8,ENERGOMAX,POZOSTAŁE
9,MEDIPOL,LEKI/WYROBY MEDYCZNE
10,LUMICELL,POZOSTAŁE
11,SALVICARE,LEKI/WYROBY MEDYCZNE
15,CURAMED,LEKI/WYROBY MEDYCZNE
16,VITAPHARM,LEKI/WYROBY MEDYCZNE
18,NOVAMED,LEKI/WYROBY MEDYCZNE
19,GALENICA,LEKI/WYROBY MEDYCZNE
20,FRESHGUM,POZOSTAŁE
21,BIOCURA,LEKI/WYROBY MEDYCZNE
27,HANDYPACK,POZOSTAŁE
28,PHARMADEX,LEKI/WYROBY MEDYCZNE
33,IMMUNOVA,LEKI/WYROBY MEDYCZNE
34,CARDIPOL,LEKI/WYROBY MEDYCZNE
35,EUROTRADE,POZOSTAŁE
38,DERMAVIT,LEKI/WYROBY MEDYCZNE
58,STARPACK PLUS,POZOSTAŁE
61,RAPHAMED,LEKI/WYROBY MEDYCZNE
63,PANAXO,LEKI/WYROBY MEDYCZNE
64,MAXICLEAN,POZOSTAŁE
78,ZIARENKO,ZDROWA ŻYWNOŚĆ
81,SALVENO,LEKI/WYROBY MEDYCZNE
93,MEDIVANCE,LEKI/WYROBY MEDYCZNE
99,PHARMALUX,LEKI/WYROBY MEDYCZNE
103,KLEJOFIX,POZOSTAŁE
120,OSTROSTAL,POZOSTAŁE
134,NATURELLE,KOSMETYKI
141,BRIGHTCELL,POZOSTAŁE
144,BELLADERM,KOSMETYKI
149,SWEETBOX,POZOSTAŁE
150,VITAMEDIC,LEKI/WYROBY MEDYCZNE
167,OWOCOLANDIA,ZDROWA ŻYWNOŚĆ
168,GRANOVITA,ZDROWA ŻYWNOŚĆ
170,ŁĄKA SMAKÓW,ZDROWA ŻYWNOŚĆ
171,SADOWNIK,ZDROWA ŻYWNOŚĆ
176,NATUFARMA,ZDROWA ŻYWNOŚĆ
181,ZBOŻOWO,ZDROWA ŻYWNOŚĆ
187,FRUKTOPOL,ZDROWA ŻYWNOŚĆ
191,SCHOOLPRO,POZOSTAŁE
197,VEGEMISTO,ZDROWA ŻYWNOŚĆ
206,SUPERZIARNO,ZDROWA ŻYWNOŚĆ
207,BIOFIT,ZDROWA ŻYWNOŚĆ
208,BIOSNACK,ZDROWA ŻYWNOŚĆ
209,FLORAVITA,KOSMETYKI
214,HERBOMED,LEKI/WYROBY MEDYCZNE
225,BIOCRUNCH,ZDROWA ŻYWNOŚĆ
232,BIOGRANO,ZDROWA ŻYWNOŚĆ
233,BIOFOOD,ZDROWA ŻYWNOŚĆ
238,BIOVITA,ZDROWA ŻYWNOŚĆ
245,BIOLAND,ZDROWA ŻYWNOŚĆ
247,BIOBAR,ZDROWA ŻYWNOŚĆ
255,BIOSMAK,ZDROWA ŻYWNOŚĆ
258,BIONATURA,ZDROWA ŻYWNOŚĆ
259,BIOLIFE,ZDROWA ŻYWNOŚĆ
263,BIOPURE,ZDROWA ŻYWNOŚĆ
264,BIOMIX,ZDROWA ŻYWNOŚĆ
281,BIOGOLD,ZDROWA ŻYWNOŚĆ
