data,miesiac,rok,numer_gr_klienta,numer kategorii,ilosc,sprzedaz,marza
28.02.2025,2,2025,124,9,12,91.02,18.204
28.02.2025,2,2025,124,18,24,156.54,31.308
28.02.2025,2,2025,124,27,385,1670.68,668.272
28.02.2025,2,2025,124,38,6,20.1,4.02
28.02.2025,2,2025,124,78,3,32.58,9.774
28.02.2025,2,2025,124,120,3875,10566.25,4226.5
28.02.2025,2,2025,124,232,5,41.0,12.3
28.02.2025,2,2025,283,3,27,298.2,119.28
28.02.2025,2,2025,283,6,10,50.3,20.12
28.02.2025,2,2025,283,8,2,21.98,8.792
28.02.2025,2,2025,283,9,423,3502.67,700.534
28.02.2025,2,2025,283,10,26,447.7,179.08
28.02.2025,2,2025,283,11,24,244.0,48.8
28.02.2025,2,2025,283,16,20,32.0,6.4
28.02.2025,2,2025,283,18,176,1047.36,209.472
28.02.2025,2,2025,283,19,10,37.2,7.44
28.02.2025,2,2025,283,20,185,459.65,183.86
28.02.2025,2,2025,283,21,19,89.15,17.83
28.02.2025,2,2025,283,27,494,2013.56,805.424
28.02.2025,2,2025,283,28,94,1184.4,236.88
28.02.2025,2,2025,283,33,34,522.6,104.52
28.02.2025,2,2025,283,34,13,95.98,19.196
28.02.2025,2,2025,283,35,30,226.68,90.672
28.02.2025,2,2025,283,38,308,2194.0,438.8
28.02.2025,2,2025,283,61,26,136.62,27.324
28.02.2025,2,2025,283,78,7,76.02,22.806
28.02.2025,2,2025,283,93,12,74.76,14.952
28.02.2025,2,2025,283,99,10,66.2,13.24
28.02.2025,2,2025,283,120,8265,22510.35,9004.14
28.02.2025,2,2025,283,141,24,64.56,25.824
28.02.2025,2,2025,283,144,14,57.28,28.64
28.02.2025,2,2025,283,149,350,1510.0,604.0
28.02.2025,2,2025,283,150,3,14.97,2.994
28.02.2025,2,2025,283,167,34,220.76,66.228
28.02.2025,2,2025,283,168,5,36.9,11.07
28.02.2025,2,2025,283,170,3,20.55,6.165
28.02.2025,2,2025,283,171,15,89.85,26.955
28.02.2025,2,2025,283,176,12,136.25,40.875
28.02.2025,2,2025,283,191,192,579.84,231.936
28.02.2025,2,2025,283,197,12,100.26,30.078
28.02.2025,2,2025,283,214,14,43.02,8.604
28.02.2025,2,2025,283,225,40,196.9,59.07
28.02.2025,2,2025,283,232,73,423.52,127.056
28.02.2025,2,2025,283,245,25,59.75,17.925
28.02.2025,2,2025,283,247,24,107.7,32.31
28.02.2025,2,2025,283,258,245,740.95,222.285
28.02.2025,2,2025,283,259,159,1074.95,322.485
28.02.2025,2,2025,283,263,85,145.2,43.56
28.02.2025,2,2025,283,264,16,156.77,47.031
28.02.2025,2,2025,283,281,0,-13.2,-3.96
28.02.2025,2,2025,283,287,24,131.94,39.582
28.02.2025,2,2025,283,293,48,295.32,88.596
28.02.2025,2,2025,283,297,6,44.74,13.422
28.02.2025,2,2025,283,311,18,55.98,16.794
28.02.2025,2,2025,283,324,24,96.24,28.872
28.02.2025,2,2025,283,345,6,54.18,10.836
28.02.2025,2,2025,283,452,10,41.8,16.72
28.02.2025,2,2025,283,453,12,294.3,88.29
28.02.2025,2,2025,283,455,9,207.39,62.217
28.02.2025,2,2025,283,459,358,1192.14,357.642
28.02.2025,2,2025,283,463,5,28.75,8.625
28.02.2025,2,2025,283,496,150,291.0,87.3
28.02.2025,2,2025,283,508,40,69.2,20.76
28.02.2025,2,2025,283,511,70,102.2,40.88
28.02.2025,2,2025,283,530,15,31.65,9.495
28.02.2025,2,2025,283,533,3,8.04,3.216
28.02.2025,2,2025,283,561,8,30.8,9.24
28.02.2025,2,2025,283,631,188,310.96,93.288
28.02.2025,2,2025,283,636,28,152.33,45.699
28.02.2025,2,2025,283,637,29,109.37,21.874
28.02.2025,2,2025,283,701,16,66.28,19.884
28.02.2025,2,2025,283,706,5,79.9,15.98
28.02.2025,2,2025,283,708,16,85.34,25.602
28.02.2025,2,2025,283,711,100,194.0,38.8
28.02.2025,2,2025,312,6,15,78.75,31.5
28.02.2025,2,2025,312,9,368,3075.93,615.186
28.02.2025,2,2025,312,10,3,25.8,10.32
28.02.2025,2,2025,312,11,3,27.93,5.586
28.02.2025,2,2025,312,18,86,408.96,81.792
28.02.2025,2,2025,312,19,10,35.5,7.1
28.02.2025,2,2025,312,20,50,59.0,23.6
28.02.2025,2,2025,312,21,34,126.64,25.328
28.02.2025,2,2025,312,27,290,1105.8,442.32
28.02.2025,2,2025,312,28,12,148.2,29.64
28.02.2025,2,2025,312,33,6,99.54,19.908
28.02.2025,2,2025,312,35,24,54.48,21.792
28.02.2025,2,2025,312,38,162,899.72,179.944
28.02.2025,2,2025,312,61,6,31.02,6.204
28.02.2025,2,2025,312,64,12,29.04,11.616
28.02.2025,2,2025,312,120,1855,5060.45,2024.18
28.02.2025,2,2025,312,144,10,37.94,18.97
28.02.2025,2,2025,312,149,204,599.54,239.816
28.02.2025,2,2025,312,167,2,16.5,4.95
28.02.2025,2,2025,312,176,2,51.58,15.474
28.02.2025,2,2025,312,209,5,130.55,65.275
28.02.2025,2,2025,312,232,27,135.54,40.662
28.02.2025,2,2025,312,238,6,56.1,16.83
28.02.2025,2,2025,312,258,105,368.75,110.625
28.02.2025,2,2025,312,259,34,221.46,66.438
28.02.2025,2,2025,312,263,10,37.8,11.34
28.02.2025,2,2025,312,287,18,102.06,30.618
